Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -70.08744277044039, time: 1813.269
steps: 49975, episodes: 2000, mean episode reward: -50.10348342048394, time: 2473.135
steps: 74975, episodes: 3000, mean episode reward: -27.658466780114757, time: 2453.53
steps: 99975, episodes: 4000, mean episode reward: -26.47796033020337, time: 2456.626
steps: 124975, episodes: 5000, mean episode reward: -25.946332113513385, time: 2456.653
steps: 149975, episodes: 6000, mean episode reward: -25.488045729497347, time: 2451.4
steps: 174975, episodes: 7000, mean episode reward: -25.637463201879196, time: 2308.845
steps: 199975, episodes: 8000, mean episode reward: -25.507148736907848, time: 696.537
steps: 224975, episodes: 9000, mean episode reward: -24.933902679007524, time: 907.649
steps: 249975, episodes: 10000, mean episode reward: -24.93547738774959, time: 975.299
steps: 274975, episodes: 11000, mean episode reward: -25.464977559997436, time: 979.954
steps: 299975, episodes: 12000, mean episode reward: -25.303961233898654, time: 975.265
steps: 324975, episodes: 13000, mean episode reward: -24.566202680246214, time: 978.828
steps: 349975, episodes: 14000, mean episode reward: -24.805858012180636, time: 984.105
steps: 374975, episodes: 15000, mean episode reward: -25.281033974774886, time: 1129.789
steps: 399975, episodes: 16000, mean episode reward: -24.845948846126056, time: 976.402
steps: 424975, episodes: 17000, mean episode reward: -25.00832483377416, time: 977.104
steps: 449975, episodes: 18000, mean episode reward: -24.224940786663698, time: 976.557
steps: 474975, episodes: 19000, mean episode reward: -25.206378542410196, time: 976.813
steps: 499975, episodes: 20000, mean episode reward: -24.852907928257142, time: 982.32
steps: 524975, episodes: 21000, mean episode reward: -25.120495419418496, time: 978.647
steps: 549975, episodes: 22000, mean episode reward: -25.00934668129453, time: 1100.449
steps: 574975, episodes: 23000, mean episode reward: -25.114659308598508, time: 1314.645
steps: 599975, episodes: 24000, mean episode reward: -24.94121103489241, time: 1221.576
steps: 624975, episodes: 25000, mean episode reward: -25.692643483676925, time: 980.6
steps: 649975, episodes: 26000, mean episode reward: -24.646601839096423, time: 979.652
steps: 674975, episodes: 27000, mean episode reward: -25.153151864405558, time: 987.828
steps: 699975, episodes: 28000, mean episode reward: -24.95294433840188, time: 1181.667
steps: 724975, episodes: 29000, mean episode reward: -25.575564420670045, time: 1311.272
steps: 749975, episodes: 30000, mean episode reward: -25.965027053970672, time: 1304.709
steps: 774975, episodes: 31000, mean episode reward: -26.372089819868474, time: 1285.419
steps: 799975, episodes: 32000, mean episode reward: -25.988877696541103, time: 1160.624
steps: 824975, episodes: 33000, mean episode reward: -24.93604068758961, time: 984.092
steps: 849975, episodes: 34000, mean episode reward: -24.52840186908547, time: 987.708
steps: 874975, episodes: 35000, mean episode reward: -24.15934016559225, time: 984.765
steps: 899975, episodes: 36000, mean episode reward: -24.711058183712776, time: 982.879
steps: 924975, episodes: 37000, mean episode reward: -24.770160137774372, time: 988.731
steps: 949975, episodes: 38000, mean episode reward: -24.375608487557823, time: 982.551
steps: 974975, episodes: 39000, mean episode reward: -25.16842263991414, time: 986.483
steps: 999975, episodes: 40000, mean episode reward: -25.44279888422478, time: 987.3
steps: 1024975, episodes: 41000, mean episode reward: -24.730187569403448, time: 988.112
steps: 1049975, episodes: 42000, mean episode reward: -24.87350603919495, time: 983.673
steps: 1074975, episodes: 43000, mean episode reward: -25.27484742274898, time: 984.9
steps: 1099975, episodes: 44000, mean episode reward: -26.515743330297003, time: 988.055
steps: 1124975, episodes: 45000, mean episode reward: -25.066328101645208, time: 982.556
steps: 1149975, episodes: 46000, mean episode reward: -25.858766193414844, time: 987.137
steps: 1174975, episodes: 47000, mean episode reward: -26.556504785749304, time: 982.251
steps: 1199975, episodes: 48000, mean episode reward: -27.423029522436124, time: 982.935
steps: 1224975, episodes: 49000, mean episode reward: -25.73420223852618, time: 986.395
steps: 1249975, episodes: 50000, mean episode reward: -24.583710438004296, time: 987.222
steps: 1274975, episodes: 51000, mean episode reward: -24.39009676046402, time: 988.567
steps: 1299975, episodes: 52000, mean episode reward: -24.67137161298789, time: 983.456
steps: 1324975, episodes: 53000, mean episode reward: -24.366996542758354, time: 988.341
steps: 1349975, episodes: 54000, mean episode reward: -25.012936587297954, time: 984.383
steps: 1374975, episodes: 55000, mean episode reward: -24.69753486527731, time: 985.898
steps: 1399975, episodes: 56000, mean episode reward: -24.97583928461573, time: 989.025
steps: 1424975, episodes: 57000, mean episode reward: -26.835509004437174, time: 984.497
steps: 1449975, episodes: 58000, mean episode reward: -25.799574107238026, time: 986.448
steps: 1474975, episodes: 59000, mean episode reward: -25.812566426472333, time: 989.313
steps: 1499975, episodes: 60000, mean episode reward: -26.80605492532216, time: 831.635
...Finished total of 60001 episodes.
