Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: 35.00366682871265, time: 3476.841
steps: 49975, episodes: 2000, mean episode reward: 70.94433197111053, time: 5283.69
steps: 74975, episodes: 3000, mean episode reward: 87.13812723527055, time: 5316.037
steps: 99975, episodes: 4000, mean episode reward: 96.71054941994755, time: 3199.036
steps: 124975, episodes: 5000, mean episode reward: 98.19647336912523, time: 2271.604
steps: 149975, episodes: 6000, mean episode reward: 98.79459402777599, time: 2270.672
steps: 174975, episodes: 7000, mean episode reward: 105.82079652645986, time: 2416.325
steps: 199975, episodes: 8000, mean episode reward: 119.08109418759084, time: 2277.239
steps: 224975, episodes: 9000, mean episode reward: 135.6879083076302, time: 2271.095
steps: 249975, episodes: 10000, mean episode reward: 146.1838343715294, time: 2422.654
steps: 274975, episodes: 11000, mean episode reward: 157.5758540132038, time: 2729.523
steps: 299975, episodes: 12000, mean episode reward: 165.6154745243053, time: 2277.899
steps: 324975, episodes: 13000, mean episode reward: 172.68945886424157, time: 2730.863
steps: 349975, episodes: 14000, mean episode reward: 178.631992392544, time: 2860.84
steps: 374975, episodes: 15000, mean episode reward: 190.90707523030247, time: 2348.491
steps: 399975, episodes: 16000, mean episode reward: 193.68303650962721, time: 2228.007
steps: 424975, episodes: 17000, mean episode reward: 186.77340117341234, time: 2227.774
steps: 449975, episodes: 18000, mean episode reward: 157.01404562538153, time: 2227.76
steps: 474975, episodes: 19000, mean episode reward: 123.73259484190835, time: 2227.971
steps: 499975, episodes: 20000, mean episode reward: 87.86955994676698, time: 2224.119
steps: 524975, episodes: 21000, mean episode reward: 79.17839271126788, time: 2222.575
steps: 549975, episodes: 22000, mean episode reward: 86.86692979897512, time: 2231.12
steps: 574975, episodes: 23000, mean episode reward: 104.31479463993335, time: 2229.667
steps: 599975, episodes: 24000, mean episode reward: 95.98435068338358, time: 2226.665
steps: 624975, episodes: 25000, mean episode reward: 106.84176944890179, time: 2222.104
steps: 649975, episodes: 26000, mean episode reward: 108.53329954836539, time: 2229.736
steps: 674975, episodes: 27000, mean episode reward: 103.68507360866187, time: 1790.027
steps: 699975, episodes: 28000, mean episode reward: 109.04532417927348, time: 1050.443
steps: 724975, episodes: 29000, mean episode reward: 99.97186711824595, time: 1044.552
steps: 749975, episodes: 30000, mean episode reward: 100.65513387910721, time: 1043.485
steps: 774975, episodes: 31000, mean episode reward: 98.65077583404974, time: 1048.748
steps: 799975, episodes: 32000, mean episode reward: 99.15913452710572, time: 1049.153
steps: 824975, episodes: 33000, mean episode reward: 101.78598632145057, time: 1047.283
steps: 849975, episodes: 34000, mean episode reward: 107.81235508662128, time: 1046.114
steps: 874975, episodes: 35000, mean episode reward: 101.84079889344991, time: 1046.774
steps: 899975, episodes: 36000, mean episode reward: 110.13182415392396, time: 1051.452
steps: 924975, episodes: 37000, mean episode reward: 105.52695285437532, time: 1048.684
steps: 949975, episodes: 38000, mean episode reward: 109.47913061485707, time: 1044.873
steps: 974975, episodes: 39000, mean episode reward: 107.91644747150919, time: 1050.344
steps: 999975, episodes: 40000, mean episode reward: 105.40247766433579, time: 1047.551
steps: 1024975, episodes: 41000, mean episode reward: 117.4120805231043, time: 694.653
steps: 1049975, episodes: 42000, mean episode reward: 103.78411021177622, time: 639.069
steps: 1074975, episodes: 43000, mean episode reward: 111.94039723642878, time: 638.695
steps: 1099975, episodes: 44000, mean episode reward: 103.88660409628751, time: 425.686
steps: 1124975, episodes: 45000, mean episode reward: 103.02057119435165, time: 307.146
steps: 1149975, episodes: 46000, mean episode reward: 113.60643453789183, time: 300.602
steps: 1174975, episodes: 47000, mean episode reward: 108.85363151223824, time: 300.415
steps: 1199975, episodes: 48000, mean episode reward: 112.64433968283942, time: 305.294
steps: 1224975, episodes: 49000, mean episode reward: 109.15186424496869, time: 305.778
steps: 1249975, episodes: 50000, mean episode reward: 120.60324538299474, time: 301.006
steps: 1274975, episodes: 51000, mean episode reward: 116.94415351531485, time: 305.743
steps: 1299975, episodes: 52000, mean episode reward: 119.41163150420512, time: 301.113
steps: 1324975, episodes: 53000, mean episode reward: 119.13195385995024, time: 304.257
steps: 1349975, episodes: 54000, mean episode reward: 122.20708595931985, time: 299.989
steps: 1374975, episodes: 55000, mean episode reward: 123.02677965448991, time: 275.915
steps: 1399975, episodes: 56000, mean episode reward: 140.28332286983357, time: 267.358
steps: 1424975, episodes: 57000, mean episode reward: 134.9729975068656, time: 230.009
steps: 1449975, episodes: 58000, mean episode reward: 141.37240590703095, time: 219.889
steps: 1474975, episodes: 59000, mean episode reward: 136.76601129500926, time: 229.029
steps: 1499975, episodes: 60000, mean episode reward: 146.90387852495246, time: 219.019
...Finished total of 60001 episodes.
