Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -3439.917896733073, time: 2624.832
steps: 49975, episodes: 2000, mean episode reward: -4477.854125423498, time: 3773.761
steps: 74975, episodes: 3000, mean episode reward: -3569.093230812479, time: 3782.933
steps: 99975, episodes: 4000, mean episode reward: -3290.1190036431403, time: 3782.288
steps: 124975, episodes: 5000, mean episode reward: -3304.933457873997, time: 2842.559
steps: 149975, episodes: 6000, mean episode reward: -3305.4331885264123, time: 1435.17
steps: 174975, episodes: 7000, mean episode reward: -3279.340605221545, time: 1640.674
steps: 199975, episodes: 8000, mean episode reward: -3270.957886940986, time: 1641.743
steps: 224975, episodes: 9000, mean episode reward: -3251.6145007918653, time: 1712.32
steps: 249975, episodes: 10000, mean episode reward: -3254.2202471816345, time: 1705.543
steps: 274975, episodes: 11000, mean episode reward: -3234.933566896553, time: 1646.633
steps: 299975, episodes: 12000, mean episode reward: -3260.6375154740176, time: 1645.119
steps: 324975, episodes: 13000, mean episode reward: -3259.3781414482164, time: 1640.841
steps: 349975, episodes: 14000, mean episode reward: -3268.9981348351903, time: 1903.215
steps: 374975, episodes: 15000, mean episode reward: -3258.775471074575, time: 1969.941
steps: 399975, episodes: 16000, mean episode reward: -3274.1799620628585, time: 1647.414
steps: 424975, episodes: 17000, mean episode reward: -3253.8707367584584, time: 1677.614
steps: 449975, episodes: 18000, mean episode reward: -3279.4213768941886, time: 2099.186
steps: 474975, episodes: 19000, mean episode reward: -3237.547019901863, time: 2085.053
steps: 499975, episodes: 20000, mean episode reward: -3240.889983565145, time: 1827.997
steps: 524975, episodes: 21000, mean episode reward: -3239.4251495113103, time: 1607.15
steps: 549975, episodes: 22000, mean episode reward: -3246.636114369245, time: 1599.7
steps: 574975, episodes: 23000, mean episode reward: -3243.6129618693826, time: 1599.555
steps: 599975, episodes: 24000, mean episode reward: -3242.4003951081486, time: 1607.379
steps: 624975, episodes: 25000, mean episode reward: -3236.7594913344965, time: 1608.485
steps: 649975, episodes: 26000, mean episode reward: -3237.928042068527, time: 1603.37
steps: 674975, episodes: 27000, mean episode reward: -3234.219816681333, time: 1603.851
steps: 699975, episodes: 28000, mean episode reward: -3234.1796824870626, time: 1602.531
steps: 724975, episodes: 29000, mean episode reward: -3231.5850958606666, time: 1604.914
steps: 749975, episodes: 30000, mean episode reward: -3258.2091521029706, time: 1607.319
steps: 774975, episodes: 31000, mean episode reward: -3241.658667603143, time: 1599.333
steps: 799975, episodes: 32000, mean episode reward: -3213.677627105377, time: 1601.193
steps: 824975, episodes: 33000, mean episode reward: -3231.047561965637, time: 1602.561
steps: 849975, episodes: 34000, mean episode reward: -3226.293303451138, time: 1606.436
steps: 874975, episodes: 35000, mean episode reward: -3248.554003644198, time: 1604.647
steps: 899975, episodes: 36000, mean episode reward: -3248.5279320503423, time: 1607.139
steps: 924975, episodes: 37000, mean episode reward: -3225.393993051999, time: 1465.933
steps: 949975, episodes: 38000, mean episode reward: -3215.56928645822, time: 759.632
steps: 974975, episodes: 39000, mean episode reward: -3234.448825595363, time: 757.479
steps: 999975, episodes: 40000, mean episode reward: -3241.036968654104, time: 756.196
steps: 1024975, episodes: 41000, mean episode reward: -3191.174673024416, time: 749.382
steps: 1049975, episodes: 42000, mean episode reward: -3197.6045584339063, time: 749.281
steps: 1074975, episodes: 43000, mean episode reward: -3208.239992955264, time: 751.676
steps: 1099975, episodes: 44000, mean episode reward: -3231.4671171879404, time: 753.904
steps: 1124975, episodes: 45000, mean episode reward: -3223.4927953877545, time: 751.681
steps: 1149975, episodes: 46000, mean episode reward: -3236.895068610514, time: 749.368
steps: 1174975, episodes: 47000, mean episode reward: -3235.866478842958, time: 751.503
steps: 1199975, episodes: 48000, mean episode reward: -3253.767701050089, time: 751.807
steps: 1224975, episodes: 49000, mean episode reward: -3234.7814269782157, time: 753.057
steps: 1249975, episodes: 50000, mean episode reward: -3224.4734576116402, time: 754.157
steps: 1274975, episodes: 51000, mean episode reward: -3208.940931888918, time: 752.654
steps: 1299975, episodes: 52000, mean episode reward: -3228.9955177670827, time: 752.064
steps: 1324975, episodes: 53000, mean episode reward: -3213.2624143891417, time: 755.099
steps: 1349975, episodes: 54000, mean episode reward: -3215.543295873736, time: 755.261
steps: 1374975, episodes: 55000, mean episode reward: -3200.038934532225, time: 753.521
steps: 1399975, episodes: 56000, mean episode reward: -3209.0882165619905, time: 643.131
steps: 1424975, episodes: 57000, mean episode reward: -3208.127424218351, time: 467.329
steps: 1449975, episodes: 58000, mean episode reward: -3185.484933889642, time: 466.819
steps: 1474975, episodes: 59000, mean episode reward: -3202.1275916307354, time: 465.96
steps: 1499975, episodes: 60000, mean episode reward: -3198.8673508480065, time: 467.258
...Finished total of 60001 episodes.
